FID,id,date_ech,code_qual,lib_qual,coul_qual,date_dif,source,type_zone,code_zone,lib_zone,code_no2,code_so2,code_o3,code_pm10,code_pm25,x_wgs84,y_wgs84,x_reg,y_reg,epsg_reg,geom
ind_bfc.176736,176736,2021-01-26T00:00:00Z,2,Moyen,#50ccaa,2021-01-27T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176737,176737,2021-01-27T00:00:00Z,2,Moyen,#50ccaa,2021-02-15T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,2,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176738,176738,2021-01-28T00:00:00Z,2,Moyen,#50ccaa,2021-02-15T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176739,176739,2021-01-29T00:00:00Z,2,Moyen,#50ccaa,2021-02-15T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176740,176740,2021-01-30T00:00:00Z,2,Moyen,#50ccaa,2021-02-15T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176741,176741,2021-01-31T00:00:00Z,2,Moyen,#50ccaa,2021-02-15T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176742,176742,2021-02-01T00:00:00Z,2,Moyen,#50ccaa,2021-02-15T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176743,176743,2021-02-02T00:00:00Z,2,Moyen,#50ccaa,2021-02-15T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176744,176744,2021-02-03T00:00:00Z,2,Moyen,#50ccaa,2021-02-15T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176745,176745,2021-02-04T00:00:00Z,2,Moyen,#50ccaa,2021-02-15T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
